"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"HIBGJRDE","journalArticle","2020","Kim, Jungyoon","Solution-gated nitrate sensitive field effect transistor with hybrid film: CVD graphene/polymer selective membrane","Organic Electronics","","","","","In this paper, we report the fabrication of ion sensitive field effect transistor which can detect nitrate in the water, and we clarify the sensing mechanism using a membrane-solution potential change model. For the device, CVD graphene is used for a sensing material and a polymer based nitrate selective membrane is used for the selectivity. While graphene can very sensitively response to the surrounding environment, graphene needs the selectivity to detect specific ions in water. To solve the problem in graphene based sensor, the selective mem­ brane including nitrate ionophore, PVC and plasticizer is directly applied to the graphene surface. The quantity of nitrate in water is estimated by measuring Dirac point shift of graphene with a semiconductor analyzer because Dirac point sensitively responses to a graphene’s carrier density which can be changed by the membrane-solution potential difference. Nitrate is the only ion that can be recognized by the selective mem­ brane. Therefore, the sensor can detect the quantity of nitrate in water without the interference of other ions. In the experiment, four different solutions (phosphate, sulfate, chloride and nitrate) are applied to the sensors to test the selectivity and four different concentrations (0.1, 1, 10 and 100 mg/L) are used for the sensitivity test. The detection limit is 0.1 mg/L, and the response time is about 10 s.","2020","2021-06-25 09:34:12","2021-06-25 09:34:12","","6","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\abed-al-baset.taleb\Zotero\storage\H4VATXDW\Kim - 2020 - Solution-gated nitrate sensitive field effect tran.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QXXVLCN2","journalArticle","2018","Haslam, Carrie; Damiati, Samar; Whitley, Toby; Davey, Paul; Ifeachor, Emmanuel; Awan, Shakil","Label-Free Sensors Based on Graphene Field-Effect Transistors for the Detection of Human Chorionic Gonadotropin Cancer Risk Biomarker","Diagnostics","","2075-4418","10.3390/diagnostics8010005","http://www.mdpi.com/2075-4418/8/1/5","We report on the development of label-free chemical vapour deposition (CVD) graphene ﬁeld effect transistor (GFET) immunosensors for the sensitive detection of Human Chorionic Gonadotropin (hCG), a glycoprotein risk biomarker of certain cancers. The GFET sensors were fabricated on Si/SiO2 substrate using photolithography with evaporated chromium and sputtered gold contacts. GFET channels were functionalised with a linker molecule to an immobile anti-hCG antibody on the surface of graphene. The binding reaction of the antibody with varying concentration levels of hCG antigen demonstrated the limit of detection of the GFET sensors to be below 1 pg/mL using four-probe electrical measurements. We also show that annealing can signiﬁcantly improve the carrier transport properties of GFETs and shift the Dirac point (Fermi level) with reduced p-doping in back-gated measurements. The developed GFET biosensors are generic and could ﬁnd applications in a broad range of medical diagnostics in addition to cancer, such as neurodegenerative (Alzheimer’s and Parkinson’s) and cardiovascular disorders.","2018-01-08","2021-06-25 12:22:17","2021-06-25 12:22:17","2021-06-25 12:22:17","5","","1","8","","Diagnostics","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\abed-al-baset.taleb\Zotero\storage\WTCJFSBX\Haslam et al. - 2018 - Label-Free Sensors Based on Graphene Field-Effect .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PA2H9FRU","journalArticle","2013","Ohno, Yasuhide; Okamoto, Shogo; Maehashi, Kenzo; Matsumoto, Kazuhiko","Direct Electrical Detection of DNA Hybridization Based on Electrolyte-Gated Graphene Field-Effect Transistor","Japanese Journal of Applied Physics","","0021-4922, 1347-4065","10.7567/JJAP.52.110107","https://iopscience.iop.org/article/10.7567/JJAP.52.110107","","2013-11-01","2021-06-25 12:47:15","2021-06-25 12:47:15","2021-06-25 12:47:15","110107","","11R","52","","Jpn. J. Appl. Phys.","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\abed-al-baset.taleb\Zotero\storage\57Q9J9T4\Ohno et al. - 2013 - Direct Electrical Detection of DNA Hybridization B.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LMRVZNH6","journalArticle","2012","Kwak, Yeon Hwa; Choi, Dong Soo; Kim, Ye Na; Kim, Hyeongkeun; Yoon, Dae Ho; Ahn, Sang-Sik; Yang, Ji-Woon; Yang, Woo Seok; Seo, Sungkyu","Flexible glucose sensor using CVD-grown graphene-based field effect transistor","Biosensors and Bioelectronics","","09565663","10.1016/j.bios.2012.04.042","https://linkinghub.elsevier.com/retrieve/pii/S0956566312002710","A ﬂexible glucose sensor using a CVD-grown graphene-based ﬁeld-effect-transistor (FET) is demonstrated. The CVD-grown graphene was functionalized with linker molecules in order to immobilize the enzymes that induce the catalytic response of glucose. Polyethylene terephthalate (PET) was employed as the substrate material to realize a ﬂexible sensor. The fabricated graphene-based FET sensor showed ambipolar transfer characteristics. Through measurements of the Dirac point shift and differential drain-source current, the fabricated FET sensor could detect glucose levels in the range of 3.3–10.9 mM, which mostly covers the reference range of medical examination or screen test for diabetes diagnostic. This CVD-grown graphene-based FET sensor, which provides excellent ﬁtting to a model curve even when deformed, high resolution, and continuous real-time monitoring, holds great promise, especially for portable, wearable, and implantable glucose level monitoring applications.","2012-08","2021-06-26 22:10:22","2021-06-26 22:10:22","2021-06-26 22:10:22","82-87","","1","37","","Biosensors and Bioelectronics","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\abed-al-baset.taleb\Zotero\storage\N5Q6C5VD\Kwak et al. - 2012 - Flexible glucose sensor using CVD-grown graphene-b.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FE4HJEKK","journalArticle","2013","Chen, Tzu-Yin; Loan, Phan Thi Kim; Hsu, Chang-Lung; Lee, Yi-Hsien; Tse-Wei Wang, Jacob; Wei, Kung-Hwa; Lin, Cheng-Te; Li, Lain-Jong","Label-free detection of DNA hybridization using transistors based on CVD grown graphene","Biosensors and Bioelectronics","","09565663","10.1016/j.bios.2012.07.059","https://linkinghub.elsevier.com/retrieve/pii/S0956566312005015","The high transconductance and low noise of graphene-based ﬁeld-effect transistors based on large-area monolayer graphene produced by chemical vapor deposition are used for label-free electrical detection of DNA hybridization. The gate materials, buffer concentration and surface condition of graphene have been optimized to achieve the DNA detection sensitivity as low as 1 pM (10À12 M), which is more sensitive than the existing report based on few-layer graphene. The graphene ﬁlms obtained using conventional PMMA-assisted transfer technique exhibits PMMA residues, which degrade the sensing performance of graphene. We have demonstrated that the sensing performance of the graphene samples prepared by gold-transfer is largely enhanced (by 125%).","2013-03","2021-06-28 07:42:00","2021-06-28 07:42:00","2021-06-28 07:42:00","103-109","","","41","","Biosensors and Bioelectronics","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\abed-al-baset.taleb\Zotero\storage\PF7MYY9Z\Chen et al. - 2013 - Label-free detection of DNA hybridization using tr.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TQESV4SN","journalArticle","2013","Kibena, Elo; Mooste, Marek; Kozlova, Jekaterina; Marandi, Margus; Sammelselg, Väino; Tammeveski, Kaido","Surface and electrochemical characterisation of CVD grown graphene sheets","Electrochemistry Communications","","13882481","10.1016/j.elecom.2013.07.034","https://linkinghub.elsevier.com/retrieve/pii/S1388248113002932","Morphological and electrochemical properties of graphene sheets grown by chemical vapour deposition (CVD) onto Ni foil were investigated. Glassy carbon (GC) and highly oriented pyrolytic graphite (HOPG) electrodes were used for comparison. Raman spectroscopy, high-resolution scanning electron microscopy and atomic force microscopy conﬁrmed that multilayer graphene was formed on the Ni substrate by the CVD method. Raman spectra of HOPG and CVD graphene revealed that these materials were almost defect-free. In contrast to bare GC, the electron transfer kinetics towards the Fe(CN)63−/4− redox couple was signiﬁcantly slower on HOPG and CVD graphene surfaces. In addition, HOPG and CVD-grown graphene electrodes were rather inactive for oxygen reduction in alkaline medium compared with bare GC. Similar electrochemical behaviour of HOPG and CVD graphene surfaces was in evidence.","2013-10","2021-06-28 07:46:18","2021-06-28 07:46:18","2021-06-28 07:46:18","26-29","","","35","","Electrochemistry Communications","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\abed-al-baset.taleb\Zotero\storage\ZNCEUGAW\Kibena et al. - 2013 - Surface and electrochemical characterisation of CV.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GLILIW45","journalArticle","2020","Lee, Sang Hun; Kim, Kyung Ho; Seo, Sung Eun; Kim, Mun il; Park, Seon Joo; Kwon, Oh Seok","Cytochrome C-decorated graphene field-effect transistor for highly sensitive hydrogen peroxide detection","Journal of Industrial and Engineering Chemistry","","1226086X","10.1016/j.jiec.2019.11.009","https://linkinghub.elsevier.com/retrieve/pii/S1226086X19305878","","2020-03","2021-06-28 12:01:57","2021-06-28 12:01:58","2021-06-28 12:01:57","29-34","","","83","","Journal of Industrial and Engineering Chemistry","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\abed-al-baset.taleb\Zotero\storage\S695N7ED\Lee et al. - 2020 - Cytochrome C-decorated graphene field-effect trans.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DUTLPXGT","journalArticle","2021","Bandyopadhyay, M; Chakraborty, G; Roy, S; Bhattacharjee, S","Study of Graphene field effect transistor (GFET) for chemical sensing application.","Journal of Physics: Conference Series","","1742-6588, 1742-6596","10.1088/1742-6596/1797/1/012045","https://iopscience.iop.org/article/10.1088/1742-6596/1797/1/012045","This paper presents a model that provides the transfer and output characteristic of a grapheme FET transistor. This model also provides close form inquiring expressions for the drain current, trance conductance of the device. In this paper we have investigate the transfer characteristic curve for chemical sensing application. In this present scenario this work proposes to develop a superfast mycotoxin sensor based on Graphene field effect transistor (GFET) using standard microelectronics technology. GFET would be able work in liquid and also in the biological substances. In this work, we will use the simulation program to explore the performance of GFET. The GFET sensor will be integrated to IoT and mobile phone platforms. This study will show that the fully integrated mycotoxin sensor with high sensitivity, fast response, and high dynamic range of toxins concentrations is feasible by proper GFET functionalization.GFET was modelled and simulated Using MATLAB software Introduction.","2021-02-01","2021-06-28 12:05:38","2021-06-28 12:05:38","2021-06-28 12:05:38","012045","","1","1797","","J. Phys.: Conf. Ser.","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\abed-al-baset.taleb\Zotero\storage\APHQK9V5\Bandyopadhyay et al. - 2021 - Study of Graphene field effect transistor (GFET) f.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WQHWLU2I","journalArticle","2015","Amin, Kazi Rafsanjani; Bid, Aveek","High performance sensors based on resistance fluctuations of single layer graphene transistors","ACS Applied Materials & Interfaces","","1944-8244, 1944-8252","10.1021/acsami.5b05922","http://arxiv.org/abs/1511.06213","One of the most interesting predicted applications of graphene monolayer based devices is as high quality sensors. In this letter we show, through systematic experiments, a chemical vapor sensor based on the measurement of low frequency resistance ﬂuctuations of single layer graphene ﬁeld-eﬀect-transistor (SLG-FET) devices. The sensor has extremely high sensitivity, very high speciﬁcity, high ﬁdelity and fast response times. The performance of the device using this scheme of measurement (which uses resistance ﬂuctuations as the detection parameter) is more than two orders of magnitude better than a detection scheme where changes in the average value of the resistance is monitored. We propose a number-density ﬂuctuation based model to explain the superior characteristics of noise measurement based detection scheme presented in this article.","2015-09-09","2021-06-28 12:27:02","2021-06-28 12:27:02","2021-06-28 12:27:02","19825-19830","","35","7","","ACS Appl. Mater. Interfaces","","","","","","","","en","","","","","arXiv.org","","arXiv: 1511.06213","","C:\Users\abed-al-baset.taleb\Zotero\storage\ZTJW45NW\Amin et Bid - 2015 - High performance sensors based on resistance fluct.pdf","","","Condensed Matter - Mesoscale and Nanoscale Physics; Physics - Instrumentation and Detectors","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
